env_id,agent,lam,n_seeds,total_steps,elapsed_sec_mean,cost_return_iqm,cost_return_ci_lo,cost_return_ci_hi,cost_return_mean,raw_return_iqm,raw_return_ci_lo,raw_return_ci_hi,raw_return_mean,n_actions_iqm,n_actions_ci_lo,n_actions_ci_hi,n_actions_mean,solved_iqm,solved_ci_lo,solved_ci_hi,solved_mean
LunarLander-v3,rule_periodic_k8,0.0,10,0,0.8,-171.03530178011067,-174.3608220073718,-168.28559097090363,-171.41817784081857,-171.03530178011067,-174.3608220073718,-168.28559097090363,-171.41817784081857,9.241666666666667,9.201666666666668,9.293333333333335,9.250000000000002,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k8,0.1,10,0,0.8,-171.95896844677736,-175.2857515851655,-169.21318263757027,-172.34317784081856,-171.03530178011067,-174.3608220073718,-168.28559097090363,-171.41817784081857,9.241666666666667,9.201666666666668,9.293333333333335,9.250000000000002,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k8,0.3,10,0,0.8,-173.80630178011072,-177.13186330435167,-171.06836597090367,-174.19317784081858,-171.03530178011067,-174.3608220073718,-168.28559097090363,-171.41817784081857,9.241666666666667,9.201666666666668,9.293333333333335,9.250000000000002,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k8,0.6,10,0,0.7,-176.57730178011067,-179.90096330435168,-173.8561768895992,-176.96817784081856,-171.03530178011067,-174.3608220073718,-168.28559097090363,-171.41817784081857,9.241666666666667,9.201666666666668,9.293333333333335,9.250000000000002,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k8,1.0,10,0,0.6,-180.27196844677738,-183.59309663768502,-177.58047688959917,-180.66817784081854,-171.03530178011067,-174.3608220073718,-168.28559097090363,-171.41817784081857,9.241666666666667,9.201666666666668,9.293333333333335,9.250000000000002,1.0,1.0,1.0,1.0
LunarLander-v3,rule_periodic_k8,1.37,10,0,0.6,-183.689535113444,-187.00788815673502,-181.01392703476859,-184.09067784081859,-171.03530178011067,-174.3608220073718,-168.28559097090363,-171.41817784081857,9.241666666666667,9.201666666666668,9.293333333333335,9.250000000000002,1.0,1.0,1.0,1.0
LunarLander-v3,rule_threshold,0.0,10,0,2.4,35.79395934101099,34.30254758611753,37.54095064858513,35.80885640460102,35.79395934101099,34.30254758611753,37.54095064858513,35.80885640460102,121.30166666666666,121.11987500000001,121.88333333333333,121.527,1.0,1.0,1.0,1.0
LunarLander-v3,rule_threshold,0.1,10,0,2.3,23.633792674344107,22.125654277633036,25.403492852666705,23.6561564046008,35.79395934101099,34.30254758611753,37.54095064858513,35.80885640460102,121.30166666666666,121.11987500000001,121.88333333333333,121.527,1.0,1.0,1.0,1.0
LunarLander-v3,rule_threshold,0.3,10,0,2.3,-0.686540658989146,-2.147220168464113,1.07336870179876,-0.649243595399114,35.79395934101099,34.30254758611753,37.54095064858513,35.80885640460102,121.30166666666666,121.11987500000001,121.88333333333333,121.527,1.0,1.0,1.0,1.0
LunarLander-v3,rule_threshold,0.6,10,0,1.9,-37.167040658989094,-38.66103577265652,-35.37135336706308,-37.10734359539906,35.79395934101099,34.30254758611753,37.54095064858513,35.80885640460102,121.30166666666666,121.11987500000001,121.88333333333333,121.527,1.0,1.0,1.0,1.0
LunarLander-v3,rule_threshold,1.0,10,0,1.9,-85.70233069818624,-87.44343619595662,-83.92838345611356,-85.71814359539914,35.79395934101099,34.30254758611753,37.54095064858513,35.80885640460102,121.30166666666666,121.11987500000001,121.88333333333333,121.527,1.0,1.0,1.0,1.0
LunarLander-v3,rule_threshold,1.37,10,0,2.0,-130.545097364853,-132.60002428984572,-128.81162026916087,-130.68313359539926,35.79395934101099,34.30254758611753,37.54095064858513,35.80885640460102,121.30166666666666,121.11987500000001,121.88333333333333,121.527,1.0,1.0,1.0,1.0
LunarLander-v3,temporl,0.0,2,200000,1255.3,225.1921595295235,198.3280631570534,252.05625590199364,225.1921595295235,225.1921595295235,198.3280631570534,252.05625590199364,225.1921595295235,258.03999999999996,249.64,266.44,258.03999999999996,0.8500000000000001,0.79,0.91,0.8500000000000001
