
===== LunarLander-v3 =====
           agent      lam  n_seeds  cost_return_iqm  cost_return_ci_lo  cost_return_ci_hi  n_actions_iqm  solved_iqm
rule_periodic_k1     0.66       10          -332.00            -332.00            -332.00         200.00        0.00
rule_periodic_k2     0.00       10          -200.00            -200.00            -200.00         100.00        0.00
rule_periodic_k2     0.01       10          -201.00            -201.00            -201.00         100.00        0.00
rule_periodic_k2     0.02       10          -202.00            -202.00            -202.00         100.00        0.00
rule_periodic_k2     0.03       10          -203.00            -203.00            -203.00         100.00        0.00
rule_periodic_k2     0.05       10          -205.00            -205.00            -205.00         100.00        0.00
rule_periodic_k2     0.10       10          -210.00            -210.00            -210.00         100.00        0.00
rule_periodic_k2     0.20       10          -220.00            -220.00            -220.00         100.00        0.00
rule_periodic_k2     0.35       10          -235.00            -235.00            -235.00         100.00        0.00
rule_periodic_k2     0.66       10          -266.00            -266.00            -266.00         100.00        0.00
rule_periodic_k4     0.00       10          -200.00            -200.00            -200.00          50.00        0.00
rule_periodic_k4     0.01       10          -200.50            -200.50            -200.50          50.00        0.00
rule_periodic_k4     0.02       10          -201.00            -201.00            -201.00          50.00        0.00
rule_periodic_k4     0.03       10          -201.50            -201.50            -201.50          50.00        0.00
rule_periodic_k4     0.05       10          -202.50            -202.50            -202.50          50.00        0.00
rule_periodic_k4     0.10       10          -205.00            -205.00            -205.00          50.00        0.00
rule_periodic_k4     0.20       10          -210.00            -210.00            -210.00          50.00        0.00
rule_periodic_k4     0.35       10          -217.50            -217.50            -217.50          50.00        0.00
rule_periodic_k4     0.66       10          -233.00            -233.00            -233.00          50.00        0.00
rule_periodic_k8     0.00       10          -200.00            -200.00            -200.00          25.00        0.00
rule_periodic_k8     0.01       10          -200.25            -200.25            -200.25          25.00        0.00
rule_periodic_k8     0.02       10          -200.50            -200.50            -200.50          25.00        0.00
rule_periodic_k8     0.03       10          -200.75            -200.75            -200.75          25.00        0.00
rule_periodic_k8     0.05       10          -201.25            -201.25            -201.25          25.00        0.00
rule_periodic_k8     0.10       10          -202.50            -202.50            -202.50          25.00        0.00
rule_periodic_k8     0.20       10          -205.00            -205.00            -205.00          25.00        0.00
rule_periodic_k8     0.35       10          -208.75            -208.75            -208.75          25.00        0.00
rule_periodic_k8     0.66       10          -216.50            -216.50            -216.50          25.00        0.00
       rule_pump     0.00       10          -119.34            -119.57            -119.06         119.34        1.00
       rule_pump     0.01       10          -120.53            -120.77            -120.25         119.34        1.00
       rule_pump     0.02       10          -121.73            -121.96            -121.44         119.34        1.00
       rule_pump     0.03       10          -122.92            -123.16            -122.63         119.34        1.00
       rule_pump     0.05       10          -125.31            -125.55            -125.01         119.34        1.00
       rule_pump     0.10       10          -131.27            -131.53            -130.97         119.34        1.00
       rule_pump     0.20       10          -143.21            -143.49            -142.87         119.34        1.00
       rule_pump     0.35       10          -161.11            -161.42            -160.73         119.34        1.00
       rule_pump     0.66       10          -198.10            -198.49            -197.64         119.34        1.00
         temporl     0.00       10          -141.38            -159.39            -128.34         122.61        0.86
         temporl     0.01       10          -192.82            -200.33            -168.13          55.56        0.13
         temporl     0.02       10          -200.22            -200.89            -182.44          42.47        0.00
         temporl     0.03       10          -200.00            -201.00            -200.00           0.00        0.00
         temporl     0.05       10          -200.00            -201.67            -200.00           0.00        0.00
         temporl     0.10       10          -200.00            -200.00            -200.00           0.00        0.00
         temporl     0.20       10          -200.00            -200.00            -200.00           0.00        0.00
         temporl     0.35       10          -200.00            -200.00            -200.00           0.00        0.00
         temporl     0.66       10          -200.00            -200.00            -200.00           0.00        0.00
  λ* [dqn vs rule_pump] CI기준 0.0 / 점추정기준 0.0 — λ=0에서도 규칙을 못 이김 — 비용 때문이 아니라 학습 자체가 규칙보다 약함
  λ* [lazy vs rule_pump] CI기준 0.0 / 점추정기준 0.0 — λ=0에서도 규칙을 못 이김 — 비용 때문이 아니라 학습 자체가 규칙보다 약함
  λ* [temporl vs rule_pump] CI기준 0.0 / 점추정기준 0.0 — λ=0에서도 규칙을 못 이김 — 비용 때문이 아니라 학습 자체가 규칙보다 약함
  λ* [dqn vs rule_best] CI기준 0.0 / 점추정기준 0.0 — λ=0에서도 규칙을 못 이김 — 비용 때문이 아니라 학습 자체가 규칙보다 약함
  λ* [lazy vs rule_best] CI기준 0.0 / 점추정기준 0.0 — λ=0에서도 규칙을 못 이김 — 비용 때문이 아니라 학습 자체가 규칙보다 약함
  λ* [temporl vs rule_best] CI기준 0.0 / 점추정기준 0.0 — λ=0에서도 규칙을 못 이김 — 비용 때문이 아니라 학습 자체가 규칙보다 약함
  저장: results/aggregate/MountainCar-v0_iqm.csv, MountainCar-v0_lambda_star.json
